#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-03-03T14:02:55 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ603f966d8445 
#INFO -out.max=1000 
#INFO queryParameters=12 
#-oc.form=sexa
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/other/Nat/563.365&tab:{J/other/Nat/563.365/gl699ha}&key:source=J/other/Nat/563.365/gl699ha&HTTPPRM:&&-ref=VIZ603f966d8445&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-source=J/other/Nat/563.365/gl699ha
#-order=I
#-out=Inst
#-out=BJD
#-out=Halpha
#-out=e_Halpha
#

#RESOURCE=yCat_1038056301
#Name: J/other/Nat/563.365
#Title: Barnard's star radial velocity curve (Ribas+, 2018)
#Table J_other_Nat_563_365_gl699ha:
#Name: J/other/Nat/563.365/gl699ha
#Title: Time-series measurements of the H{alpha} index
#---Details of Columns:
    Inst     (a9)    Instrument (1) [ucd=meta.id;instr]
    BJD (d)  (F13.5) Barycentric Julian Date of the mid-time of the observation [ucd=time.epoch]
    Halpha   (F8.5)  H{alpha} index [ucd=spect.index;em.line.Halpha]
    e_Halpha (F8.5)  1-sigma uncertainty in the H{alpha} index [ucd=stat.error]
--------- ------------- -------- --------
Inst      BJD (d)       Halpha   e_Halpha
HIRES     2455792.85422  0.47239  0.00096
HIRES     2455793.72985  0.47317  0.00072
HIRES     2455794.78554  0.46989  0.00174
HIRES     2455795.88831  0.47526  0.00175
HIRES     2455796.75916  0.47621  0.00078
HIRES     2455797.74539  0.47550  0.00093
HIRES     2455798.84563  0.50184  0.00048
HIRES     2455806.80618  0.48051  0.00086
HIRES     2455808.81412  0.48711  0.00071
HIRES     2455809.88230  0.49343  0.00103
HIRES     2455810.88909  0.49224  0.00071
HIRES     2455811.83292  0.48037  0.00066
HIRES     2455841.77226  0.48348  0.00060
HIRES     2455843.70702  0.51280  0.00074
HIRES     2455850.71302  0.48914  0.00063
HIRES     2455992.15676  0.48728  0.00084
HIRES     2455995.11402  0.48608  0.00084
HIRES     2456000.09182  0.49609  0.00105
HIRES     2456019.00553  0.48685  0.00075
HIRES     2456020.00850  0.49869  0.00084
HIRES     2456073.86262  0.46751  0.00065
HIRES     2456114.76358  0.47849  0.00107
HIRES     2456166.73653  0.46933  0.00066
HIRES     2456195.73666  0.47575  0.00117
HIRES     2456473.78591  0.47750  0.00080
HIRES     2456506.75994  0.48271  0.00142
HIRES     2456709.12066  0.48454  0.00091
HIRES     2456908.73079  0.49893  0.00083
PFS       2455791.59664  0.47317  0.00125
PFS       2455793.55795  0.47623  0.00108
PFS       2455794.60803  0.47617  0.00130
PFS       2455796.57517  0.47633  0.00120
PFS       2455801.60710  0.47552  0.00124
PFS       2455802.57782  0.47731  0.00104
PFS       2455803.55921  0.48257  0.00130
PFS       2455804.59556  0.47759  0.00112
PFS       2455844.51090  0.49235  0.00112
PFS       2455845.51977  0.49078  0.00108
PFS       2455846.53509  0.48767  0.00123
PFS       2455847.52061  0.49229  0.00096
PFS       2455850.52067  0.48835  0.00099
PFS       2455851.51951  0.48779  0.00106
PFS       2455852.51969  0.49475  0.00092
PFS       2456148.60897  0.48678  0.00133
PFS       2456150.56148  0.48347  0.00123
PFS       2456433.81764  0.49356  0.00151
PFS       2456435.74034  0.48689  0.00142
PFS       2456501.66163  0.48202  0.00120
PFS       2456507.65483  0.47950  0.00123
PFS       2456733.90325  0.47206  0.00133
PFS       2456734.90181  0.46815  0.00124
PFS       2456816.78726  0.49209  0.00129
PFS       2456819.80297  0.48538  0.00102
PFS       2456871.54469  0.48855  0.00136
PFS       2456883.58848  0.48165  0.00172
PFS       2457119.83142  0.47576  0.00111
PFS       2457261.56009  0.48293  0.00132
PFS       2457507.90223  0.47439  0.00141
PFS       2457536.75572  0.47906  0.00162
PFS       2457557.77004  0.48106  0.00130
PFS       2457615.62002  0.47548  0.00116
UVES      2452743.38727  0.47545  0.00192
UVES      2452763.39571  0.49585  0.00122
UVES      2452804.15849  0.48137  0.00178
UVES      2452839.08069  0.50033  0.00157
UVES      2453082.38935  0.47634  0.00162
UVES      2453088.38369  0.50677  0.00175
UVES      2453099.36210  0.48151  0.00193
UVES      2453125.37762  0.47269  0.00130
UVES      2453165.27796  0.48942  0.00131
UVES      2453191.14122  0.47245  0.00163
UVES      2453277.03673  0.50236  0.00135
UVES      2453430.36580  0.49291  0.00201
UVES      2453445.39313  0.47491  0.00173
UVES      2453446.32337  0.48636  0.00161
UVES      2453483.36112  0.48902  0.00203
UVES      2453505.35742  0.49761  0.00212
UVES      2453520.17241  0.50078  0.00185
UVES      2453533.19182  0.50125  0.00187
UVES      2453549.23082  0.48467  0.00125
UVES      2453621.99394  0.48696  0.00118
UVES      2453658.01211  0.49942  0.00118

#END#  -ref=VIZ603f966d8445 =================================================================================================================================================================================================================================================================================
