#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-10-25T18:42:21 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-10-25T18:42:21	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/A+A/678/A90/hd99492
#-nav=cat:J/A+A/678/A90&tab:{J/A+A/678/A90/hd99492}&key:source=J/A+A/678/A90/hd99492&HTTPPRM:&&-ref=VIZ653955ee17dd09&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=BJD&-out=RV&-out=e_RV&-out=SMW&-out=e_SMW&-out=FWHM&-out=e_FWHM&-out=Cont&-out=e_Cont&-out=Ha&-out=e_Ha&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/678/A90/hd99492
#-source=J/A+A/678/A90/hd99492
#-out=BJD
#-out=RV
#-out=e_RV
#-out=SMW
#-out=e_SMW
#-out=FWHM
#-out=e_FWHM
#-out=Cont
#-out=e_Cont
#-out=Ha
#-out=e_Ha
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_36780090
#Name: J/A+A/678/A90
#Title: HD99492, HD147379 and HD190007 HARPS-N data (Stalport+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/a+a/678/a90	
#INFO	publisher=CDS	
#INFO	creator=Stalport M.	
#INFO	related_resource=bibcode:2023A&A...678A..90S	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/678/A90	
#INFO	publication_date=2023-10-10	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_678_A90_hd99492:
#Name: J/A+A/678/A90/hd99492
#Title: HD 99492 radial velocity measurements
#Column	BJD	(F11.5)	Barycentric Julian Date of observation (BJD-2400000)	[ucd=time.epoch]
#Column	RV	(F6.2)	Radial velocity (YARARA-V1)	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F5.2)	Radial velocity uncertainty	[ucd=stat.error]
#Column	SMW	(F10.7)	S-index	[ucd=phot.flux;arith.ratio]
#Column	e_SMW	(F10.7)	S-index uncertainty	[ucd=stat.error]
#Column	FWHM	(F10.7)	Full width at half maximum of the cross-correlation function	[ucd=spect.line.width]
#Column	e_FWHM	(F10.7)	FWHM uncertainty	[ucd=stat.error;phys.angSize]
#Column	Cont	(F10.7)	Contrast	[ucd=phot.flux;arith.ratio]
#Column	e_Cont	(F10.7)	Contrast uncertainty	[ucd=stat.error]
#Column	Ha	(F10.7)	H-alpha	[ucd=spect.index;em.line.Halpha]
#Column	e_Ha	(F10.7)	H-alpha uncertainty	[ucd=stat.error]
BJD	RV	e_RV	SMW	e_SMW	FWHM	e_FWHM	Cont	e_Cont	Ha	e_Ha
58831.75977	  2.39	 0.17	-0.0106628	 0.0001972	 5.9969933	 0.0005436	 0.6019258	 0.0000529	 0.2592620	 0.0002195
58832.72743	  2.82	 0.21	-0.0112243	 0.0002869	 5.9964136	 0.0006842	 0.6010693	 0.0000666	 0.2583721	 0.0003915
58838.73435	 -7.28	 0.23	-0.0102704	 0.0002461	 5.9962260	 0.0007610	 0.6019501	 0.0000740	 0.2582570	 0.0002174
58906.63730	 -8.29	 0.22	-0.0270147	 0.0004136	 5.9898421	 0.0007039	 0.6015999	 0.0000685	 0.2562019	 0.0003520
58908.61723	 -4.74	 0.31	-0.0241763	 0.0004685	 5.9925142	 0.0009952	 0.6014365	 0.0000968	 0.2566385	 0.0003486
58909.64465	 -1.31	 0.21	-0.0250127	 0.0001953	 5.9900679	 0.0006905	 0.6012010	 0.0000672	 0.2566621	 0.0002116
58910.60611	  1.18	 0.18	-0.0288771	 0.0002345	 5.9897401	 0.0005995	 0.6012230	 0.0000583	 0.2568533	 0.0002454
58911.63102	  3.41	 0.21	-0.0240463	 0.0003113	 5.9898892	 0.0006883	 0.6012501	 0.0000670	 0.2564418	 0.0002885
58914.55559	  7.18	 0.22	-0.0265320	 0.0002289	 5.9900899	 0.0007200	 0.6012957	 0.0000700	 0.2560440	 0.0002155
58915.55595	  6.25	 0.26	-0.0187112	 0.0004146	 5.9944928	 0.0008447	 0.6013290	 0.0000822	 0.2559629	 0.0003310
59658.59898	 -5.58	 0.19	 0.0446044	 0.0004307	 6.0128831	 0.0006147	 0.6000081	 0.0000598	 0.2578563	 0.0003101
59670.43790	 -1.86	 0.33	 0.0831894	 0.0006420	 6.0228103	 0.0010616	 0.5994383	 0.0001033	 0.2577418	 0.0004387
59705.43798	 -3.53	 0.15	 0.0296365	 0.0002781	 6.0065218	 0.0004883	 0.5999543	 0.0000475	 0.2583823	 0.0002393
59706.50398	 -3.86	 0.30	 0.0428522	 0.0004559	 6.0132901	 0.0009631	 0.5998477	 0.0000937	 0.2572226	 0.0003513
59707.43987	 -3.33	 0.20	 0.0409062	 0.0003332	 6.0129512	 0.0006431	 0.5996105	 0.0000626	 0.2576734	 0.0002900
59708.36266	 -1.61	 0.21	 0.0463743	 0.0004228	 6.0145980	 0.0006717	 0.5996870	 0.0000653	 0.2577186	 0.0003612
59714.50594	  8.44	 0.18	 0.0645069	 0.0003155	 6.0191025	 0.0005959	 0.5994065	 0.0000580	 0.2584793	 0.0002778
59715.47037	  7.92	 0.28	 0.0682520	 0.0005072	 6.0194351	 0.0009213	 0.5993161	 0.0000896	 0.2598043	 0.0004000
59716.37086	  7.12	 0.14	 0.0606245	 0.0002190	 6.0152799	 0.0004626	 0.5994234	 0.0000450	 0.2596025	 0.0002578
59717.37021	  6.42	 0.19	 0.0500255	 0.0002299	 6.0122703	 0.0006084	 0.5997437	 0.0000592	 0.2597348	 0.0002387
59718.36351	  4.00	 0.18	 0.0548766	 0.0002083	 6.0136916	 0.0005931	 0.5995929	 0.0000577	 0.2594525	 0.0002388
59736.42916	 -3.27	 0.39	 0.0290136	 0.0009692	 6.0068990	 0.0012703	 0.6001494	 0.0001236	 0.2570347	 0.0005740
59737.38064	 -7.26	 0.43	 0.0342590	 0.0009515	 6.0081713	 0.0013929	 0.6002415	 0.0001355	 0.2580770	 0.0006061
59738.42493	-10.41	 0.28	 0.0178304	 0.0006368	 6.0049677	 0.0008961	 0.6004747	 0.0000872	 0.2579422	 0.0004350
59739.40948	-10.07	 0.30	 0.0160120	 0.0005193	 6.0003205	 0.0009640	 0.6001919	 0.0000938	 0.2572914	 0.0004137
59747.37942	  3.85	 0.29	 0.0390549	 0.0003539	 6.0139934	 0.0009498	 0.5998290	 0.0000924	 0.2593387	 0.0002917
59748.38228	  7.78	 0.26	 0.0450570	 0.0004886	 6.0154975	 0.0008451	 0.5999282	 0.0000822	 0.2588933	 0.0003650

