#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-03-03T14:02:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ603f966d8445 
#INFO -out.max=1000 
#INFO queryParameters=12 
#-oc.form=sexa
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/other/Nat/563.365&tab:{J/other/Nat/563.365/gl699rv}&key:source=J/other/Nat/563.365/gl699rv&HTTPPRM:&&-ref=VIZ603f966d8445&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-source=J/other/Nat/563.365/gl699rv
#-order=I
#-out=Inst
#-out=BJD
#-out=RV
#-out=e_RV
#

#RESOURCE=yCat_1038056301
#Name: J/other/Nat/563.365
#Title: Barnard's star radial velocity curve (Ribas+, 2018)
#Table J_other_Nat_563_365_gl699rv:
#Name: J/other/Nat/563.365/gl699rv
#Title: Time-series measurements of radial velocity
#---Details of Columns:
    Inst       (a9)    Instrument (1) [ucd=meta.id;instr]
    BJD (d)    (F13.5) Barycentric Julian Date of the mid-time of the observation [ucd=time.epoch]
    RV (m/s)   (F6.3)  Radial velocity [ucd=phys.veloc;pos.heliocentric]
    e_RV (m/s) (F6.3)  1-sigma uncertainty in the radial velocity [ucd=stat.error]
--------- ------------- ------ ------
HIRES     2455609.16581  4.100  1.762
HIRES     2455614.15954 -2.510  1.727
HIRES     2455634.09232 -5.450  1.586
HIRES     2455635.11458 -2.530  1.630
HIRES     2455636.15043 -4.330  1.526
HIRES     2455637.12060 -4.940  1.691
HIRES     2455638.07510 -4.470  1.535
HIRES     2455665.02443 -1.110  1.552
HIRES     2455668.03090 -3.890  1.700
HIRES     2455670.05167 -2.690  1.780
HIRES     2455671.06971 -2.370  1.578
HIRES     2455671.99600 -0.990  1.552
HIRES     2455672.97787  1.340  1.647
HIRES     2455673.96678 -0.110  1.630
HIRES     2455697.12781 -0.560  1.578
HIRES     2455697.88552  2.020  1.656
HIRES     2455699.88262  0.890  1.682
HIRES     2455704.86933  1.920  1.621
HIRES     2455705.86311  1.390  1.467
HIRES     2455706.85376  4.040  1.612
HIRES     2455707.86373  7.790  1.942
HIRES     2455720.02477  0.440  1.656
HIRES     2455723.02287 -1.580  1.718
HIRES     2455723.87029 -0.290  1.639
HIRES     2455726.94425  1.470  1.604
HIRES     2455733.83426 -3.240  1.700
HIRES     2455734.88248  3.510  1.544
HIRES     2455735.84993  4.160  1.493
HIRES     2455749.97873  1.970  1.789
HIRES     2455751.77095  0.440  1.709
HIRES     2455752.76450  3.450  1.727
HIRES     2455759.77037  3.630  1.612
HIRES     2455760.76052  4.790  1.552
HIRES     2455761.79157  6.040  1.665
HIRES     2455762.83271  4.440  1.493
HIRES     2455763.77752  2.040  1.709
HIRES     2455768.75479 -0.360  1.467
HIRES     2455769.76487  2.690  1.518
HIRES     2455770.77190  5.870  1.630
HIRES     2455781.75977 -0.240  1.552
HIRES     2455787.88740  5.640  1.771
HIRES     2455788.91751  3.590  1.798
HIRES     2455789.78086  0.180  1.700
HIRES     2455790.84818  3.120  1.586
HIRES     2455791.90215  2.990  1.735
HIRES     2455792.85422  4.390  1.561
HIRES     2455793.72985  1.850  1.595
HIRES     2455794.78554  3.280  1.735
HIRES     2455795.88831  5.790  1.535
HIRES     2455796.73302  1.210  1.595
HIRES     2455797.74539  2.870  1.434
HIRES     2455798.84563  7.310  1.612
HIRES     2455806.80618 -1.310  1.979
HIRES     2455808.81412  0.220  1.979
HIRES     2455809.88230 -0.340  1.665
HIRES     2455810.88909  2.310  1.476
HIRES     2455811.83292  0.440  1.434
HIRES     2455814.72250 -0.740  1.467
HIRES     2455824.75763  1.270  1.798
HIRES     2455839.74705 -0.040  1.630
HIRES     2455841.77226  0.230  1.807
HIRES     2455843.70702  0.000  1.621
HIRES     2455850.71302  1.210  1.674
HIRES     2455851.70715  2.420  1.586
HIRES     2455992.15676  0.770  1.674
HIRES     2455995.11402 -0.330  1.933
HIRES     2456000.09182 -2.470  1.682
HIRES     2456019.00553  1.280  2.145
HIRES     2456020.00850  4.440  1.771
HIRES     2456073.86262  5.720  1.780
HIRES     2456114.76382 -4.521  1.300
HIRES     2456166.73653  3.980  2.080
HIRES     2456195.73666  2.380  1.682
HIRES     2456473.78591  0.460  1.825
HIRES     2456506.75994  0.070  1.401
PFS       2455791.59664  0.603  1.304
PFS       2455793.55795 -0.697  1.434
PFS       2455794.65396  3.793  1.442
PFS       2455796.57517  3.593  1.385
PFS       2455801.60697  4.063  1.175
PFS       2455802.57782  2.343  1.320
PFS       2455803.55892  3.433  1.401
PFS       2455804.59556  2.083  1.320
PFS       2455844.51090  2.393  1.409
PFS       2455845.51977  1.643  1.451
PFS       2455846.53509  1.753  1.544
PFS       2455847.52061  0.743  1.621
PFS       2455850.52067  3.493  1.401
PFS       2455851.51951  4.333  1.509
PFS       2455852.51969  3.103  1.368
PFS       2455853.52729  4.183  2.625
PFS       2456085.78986 -0.387  1.336
PFS       2456147.63146 -0.237  1.870
PFS       2456148.60897 -0.897  1.336
PFS       2456150.56148 -3.467  1.401
PFS       2456433.81764  0.213  1.426
PFS       2456435.74034  3.453  1.401
PFS       2456501.66163  3.863  1.352
PFS       2456507.65494  1.033  1.160
PFS       2456555.49471  1.833  1.417
PFS       2456733.90325 -0.587  1.417
PFS       2456734.90181  0.983  1.393
PFS       2456816.78726 -1.487  1.401
PFS       2456819.80297 -2.667  1.526
PFS       2456871.54469  2.993  1.417
PFS       2456883.58848  0.453  1.476
PFS       2457119.83142  2.283  1.385
PFS       2457205.75189  2.273  1.385
PFS       2457261.56009 -1.427  1.296
PFS       2457476.90286  4.813  1.344
PFS       2457507.90223  1.473  1.385
PFS       2457536.75572  3.063  1.385
PFS       2457557.77004  2.443  1.273
PFS       2457615.62002  1.303  1.344
UVES      2451655.72910  3.116  1.048
UVES      2451681.81145  3.434  1.017
UVES      2451688.66721  2.376  0.953
UVES      2451707.68036  1.942  0.933
UVES      2451737.70236 -2.121  1.024
UVES      2451740.68172  1.477  0.932
UVES      2451761.60069  3.079  0.937
UVES      2451801.55607  2.622  1.025
UVES      2451802.54433  3.002  0.961
UVES      2451818.53399  0.872  0.930
UVES      2451946.90133  2.941  1.060
UVES      2451975.91175  3.511  0.947
UVES      2452118.54211  2.492  0.979
UVES      2452119.52204  3.489  0.972
UVES      2452120.52136  4.415  0.974
UVES      2452121.52664  5.195  0.976
UVES      2452122.52705  1.718  0.979
UVES      2452123.53902  3.195  0.965
UVES      2452124.53201  2.152  0.959
UVES      2452125.52695  2.468  0.944
UVES      2452126.53203  1.908  0.966
UVES      2452127.52668  3.935  0.951
UVES      2452128.53274  3.733  0.997
UVES      2452129.54054  3.303  0.944
UVES      2452130.54321  5.673  0.948
UVES      2452131.52719  4.420  0.960
UVES      2452134.54426  3.999  0.962
UVES      2452135.56078  2.671  0.985
UVES      2452340.83719  4.090  0.998
UVES      2452341.85332  2.465  0.988
UVES      2452366.87988  4.732  0.950
UVES      2452424.76873  1.740  0.956
UVES      2452438.64529  0.363  0.974
UVES      2452466.69953  2.677  1.002
UVES      2452478.69332  2.737  0.968
UVES      2452492.57080  7.903  0.967
UVES      2452496.47473  9.730  0.939
UVES      2452497.46838  7.934  0.983
UVES      2452498.47432  8.772  0.977
UVES      2452499.49751  9.286  0.930
UVES      2452501.48883  4.782  0.942
UVES      2452502.49325  6.143  1.001
UVES      2452535.55691  2.774  0.932
UVES      2452536.50355  2.404  0.992
UVES      2452538.53741  1.389  0.948
UVES      2452539.51523  2.841  0.930
UVES      2452540.51237  3.130  0.952
UVES      2452687.88094 -0.281  0.952
UVES      2452709.88442  3.765  0.975
UVES      2452743.89115  4.965  0.966
UVES      2452763.89689  6.191  1.014
UVES      2452804.66475  1.959  0.958
UVES      2452839.58794  5.164  0.988
UVES      2453070.88699  2.342  0.944
UVES      2453082.89087 -2.542  0.937
UVES      2453088.88557 -4.311  0.934
UVES      2453099.86499  2.165  0.953
UVES      2453125.88239  0.437  1.014
UVES      2453165.78442  2.528  0.980
UVES      2453191.64740 -2.984  0.942
UVES      2453277.53590  4.547  0.940
UVES      2453430.86577  3.560  0.988
UVES      2453445.89451  0.449  0.954
UVES      2453446.82493 -1.964  0.988
UVES      2453483.86789  2.021  0.930
UVES      2453505.86384  3.205  1.028
UVES      2453520.68219 -0.097  1.438
UVES      2453533.69850  0.237  0.998
UVES      2453549.73706  2.080  0.965
UVES      2453622.49511  4.621  0.940
UVES      2453658.50998  0.374  1.009
UVES      2453813.84364 -1.318  0.949
UVES      2453991.50680  3.603  1.054
UVES      2454012.55812  3.912  0.967
UVES      2454013.51094  4.253  0.938

#END#  -ref=VIZ603f966d8445 =================================================================================================================================================================================================================================================================================
